Address,district,beat,grid,crimedescr,ucr_ncic_code
3108 OCCIDENTAL DR,3,3C        ,1115,10851(A)VC TAKE VEH W/O OWNER,2404
2082 EXPEDITION WAY,5,5A        ,1512,459 PC  BURGLARY RESIDENCE,2204
4 PALEN CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER,2404
22 BECKFORD CT,6,6C        ,1443,476 PC PASS FICTICIOUS CHECK,2501
3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY-UNSPECIFIED,2299
5301 BONNIEMAE WAY,6,6B        ,1084,530.5 PC USE PERSONAL ID INFO,2604
2217 16TH AVE,4,4A        ,957,459 PC  BURGLARY VEHICLE,2299
3547 P ST,3,3C        ,853,484 PC   PETTY THEFT/INSIDE,2308
3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY BUSINESS,2203
1326 HELMSMAN WAY,1,1B        ,444,1708 US   THEFT OF MAIL,2310
2315 STOCKTON BLVD,6,6B        ,1005,ASSAULT WITH WEAPON - I RPT,7000
5112 63RD ST,6,6B        ,1088,530.5 PC USE PERSONAL ID INFO,2604
6351 DRIFTWOOD ST,4,4C        ,1261,SUSP PERS-NO CRIME - I RPT,7000
7721 COLLEGE TOWN DR,3,3C        ,888,530.5 PC USE PERSONAL ID INFO,2604
8460 ROVANA CIR,6,6C        ,1447,484G(B) PC ACCESS CARD FRAUD,2605
4856 11TH AVE,6,6B        ,1054,487(A) PC GRAND THEFT,2303
6033 69TH ST,6,6C        ,1403,TELEPEST -I RPT,7000
547 L ST,3,3M        ,742,487(A) GRAND THEFT-INSIDE,2308
3525 42ND ST,6,6A        ,1034,530.5 PC USE PERSONAL ID INFO,2604
5641 DORSET WAY,4,4C        ,1225,484J PC PUBLISH CARD INFO,2605
5551 REXLEIGH CT,5,5C        ,1661,459 PC  BURGLARY VEHICLE,2299
1896 ARDEN WAY,2,2C        ,628,484G(B) PC ACCESS CARD FRAUD,2605
6168 RIVERSIDE BLVD,4,4C        ,1251,484 PC PETTY THEFT,2399
415 SEXTANT WAY,2,2A        ,213,459 PC  BURGLARY VEHICLE,2299
15 BASIN CT,5,5C        ,1654,TRAFFIC - I RPT,7000
3340 62ND ST,6,6B        ,1047,594(B)(1)PC  VANDALISM +$400,2999
4280 DEER HILL DR,5,5B        ,1616,484G(B) PC ACCESS CARD FRAUD,2605
2814 5TH ST,4,4A        ,923,484 PC  PETTY THEFT/ OUTSIDE,2309
1816 FLORIN RD,5,5A        ,1361,HARASSMENT - I RPT,7000
1260 BELL AVE,2,2A        ,235,484 PC PETTY THEFT,2399
7676 BRIDGEVIEW DR,4,4C        ,1294,LOST PROPERTY - I RPT,7000
3816 CYPRESS ST,2,2A        ,503,459 PC  BURGLARY RESIDENCE,2204
1211 23RD ST,3,3B        ,747,484G(A)PC USE FORGED CARD,2605
7001 EAST PKWY,6,6C        ,1427,503 PC   EMBEZZLEMENT,2799
918 LAKE FRONT DR,4,4C        ,1294,TELEPEST -I RPT,7000
4851 KOKOMO DR,1,1A        ,123,487(A) GRAND THEFT-INSIDE,2308
2377 OAK HARBOUR DR,1,1B        ,440,653M(A) PC OBSCENE/THREAT CALL,5309
1823 P ST,3,3B        ,766,484 PETTY THEFT/LICENSE PLATE,2399
1100 14TH ST,3,3M        ,745,FOUND PROPERTY - I RPT,7000
3301 ARENA BLVD,1,1A        ,303,530.5 PC USE PERSONAL ID INFO,2604
1088 PREGO WAY,1,1B        ,404,530.5 PC USE PERSONAL ID INFO,2604
3259 SPINNING ROD WAY,1,1B        ,475,484J PC PUBLISH CARD INFO,2605
1010 J ST,3,3M        ,744,THREATS - I RPT,7000
400 BANNON ST,3,3A        ,704,530 PC FALSE PERS. REC PROP,2604
6115 63RD ST,6,6B        ,1421,246 PC SHOOT OCCUP DWELL/VEH,5213
47 FIRE LEAF CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER,2404
5140 61ST ST,6,6B        ,1087,SHOOT INTO OCCUP DWELL - I RPT,7000
1814 19TH ST,3,3A        ,776,FOUND PROPERTY - I RPT,7000
6940 27TH ST,4,4B        ,1356,243(E)1 BATTERY NONCOHAB SPOUS,1315
3820 65TH ST,6,6B        ,1058,MISCELLANEOUS I RPT (ZMISC),7000
2829 FLORIN RD,4,4B        ,1356,TOWED/STORED VEH-14602.6,7000
1080 APPOLLO WAY,4,4A        ,1203,10851(A)VC TAKE VEH W/O OWNER,2404
6571 WEATHERFORD WAY,5,5C        ,1635,10851(A)VC TAKE VEH W/O OWNER,2404
930 43RD AVE,4,4C        ,1253,10851(A)VC TAKE VEH W/O OWNER,2404
2830 E ST,3,3B        ,728,211 PC ROBBERY- BUSINESS,1299
NORTHGATE BLVD / W SILVER EAGLE RD,1,1C        ,419,CASUALTY REPORT,7000
6665 STOCKTON BLVD,6,6C        ,1441,459 PC  BURGLARY BUSINESS,2203
7811 DEER MEADOW DR,5,5B        ,1616,246 PC SHOOT OCCUP DWELL/VEH,5213
